filename,text to play,,description
output/Audio/en/0.wav,0,,
output/Audio/en/1.wav,1,,
output/Audio/en/2.wav,2,,
output/Audio/en/3.wav,3,,
output/Audio/en/4.wav,4,,
output/Audio/en/5.wav,5,,
output/Audio/en/6.wav,6,,
output/Audio/en/7.wav,7,,
output/Audio/en/8.wav,8,,
output/Audio/en/9.wav,9,,
output/Audio/en/10.wav,10,,
output/Audio/en/1min.wav,one minute,,
output/Audio/en/2min.wav,two minutes,,
output/Audio/en/3min.wav,three minutes,,
output/Audio/en/4min.wav,four minutes,,
output/Audio/en/5min.wav,five minutes,,
output/Audio/en/20sec.wav,twenty seconds,,
output/Audio/en/30sec.wav,thirty seconds,,
output/Audio/en/40sec.wav,fourty seconds,,
output/Audio/en/50sec.wav,fifty seconds,,
output/Audio/en/Alarm.wav,alarm,,
output/Audio/en/Altitude.wav,"Warning,Altitude",,
output/Audio/en/Bound.wav,Bound,,
output/Audio/en/BoundRec.wav,Receiver Bound,,
output/Audio/en/Capacity.wav,"Warning,Capacity",,
output/Audio/en/Current.wav,"Warning,High Battery Current",,
output/Audio/en/Distance.wav,"Warning,Distance",,
output/Audio/en/F_Aerobat.wav,Aerobatics,,
output/Audio/en/F_Autorot.wav,Autorotation,,
output/Audio/en/F_Default.wav,Default,,
output/Audio/en/F_Distance.wav,Distance,,
output/Audio/en/F_Hover.wav,Hover,,
output/Audio/en/F_Idle1.wav,Idle One,,
output/Audio/en/F_Idle2.wav,Idle Two,,
output/Audio/en/F_Landing.wav,Landing,,
output/Audio/en/F_Launch.wav,Launch,,
output/Audio/en/F_Normal.wav,Normal,,
output/Audio/en/F_Speed.wav,Speed,,
output/Audio/en/F_Thermal.wav,Thermal,,
output/Audio/en/High_RPM.wav,"Warning,High Motor R.P.M.",,
output/Audio/en/HighSpee.wav,"Warning,High Speed",,
output/Audio/en/HighT_A.wav,"Warning,Temperature A. High",,
output/Audio/en/HighT_B.wav,"Warning,Temperature B. High",,
output/Audio/en/HighTBEC.wav,"Warning,Temperature Max Bec High",,
output/Audio/en/Low_RPM.wav,"Warning,Low Motor R.P.M.",,
output/Audio/en/Low_TxB.wav,"Warning,Transmitter Low Battery",,
output/Audio/en/Low_U.wav,"Warning,Low Voltage",,
output/Audio/en/Low_U_Rx.wav,"Warning,Low Receiver Voltage",,
output/Audio/en/LowSpeed.wav,"Warning,Low Speed",,
output/Audio/en/LowT_A.wav,"Warning,Low Temperature A",,
output/Audio/en/LowT_B.wav,"Warning,Low Temperature B",,
output/Audio/en/LowU_A.wav,"Warning,Low Voltage A",,
output/Audio/en/LowU_B.wav,"Warning,Low Voltage B",,
output/Audio/en/LowU_C.wav,"Warning,Low Voltage C",,
output/Audio/en/LowU_BEC.wav,"Warning,Low Voltage Max Bec",,
output/Audio/en/LowUCell.wav,"Warning,Low Battery Cell Voltage",,
output/Audio/en/PPP_Err.wav,Alarm. PPM Error,,
output/Audio/en/Range_T.wav,Range Test,,
output/Audio/en/Sig_Lost.wav,Signal Lost,,
output/Audio/en/Vario.wav,"Warning,Vario",,
output/Audio/en/Warning,wav,"Warning,",,
output/Audio/en/Weak_Sig.wav,"Warning,Weak Signal",,
output/Audio/en/fm-speed.wav,"Flight Mode,Speed",,
output/Audio/en/fm-launch.wav,"Flight Mode,Launch",,
output/Audio/en/fm-thermal.wav,"Flight Mode,Thermal",,
output/Audio/en/fm-cruise.wav,"Flight Mode,Cruise",,
output/Audio/en/fm-normal.wav,"Flight Mode,Normal",,
output/Audio/en/fm-float.wav,"Flight Mode,Float",,
output/Audio/en/fm-power.wav,"Flight Mode,Power",,
output/Audio/en/fm-acro.wav,"Flight Mode,Acro",,
output/Audio/en/fm-race.wav,"Flight Mode,Race",,
output/Audio/en/fm-land.wav,"Flight Mode,Land",,
output/Audio/en/fm-angle.wav,"Flight Mode,Angle",,
output/Audio/en/fm-horizon.wav,"Flight Mode,Horizon",,
output/Audio/en/fm-manual.wav,"Flight Mode,Manual",,
output/Audio/en/fm-takeof.wav,"Flight Mode,Take Off",,
output/Audio/en/fm-hold.wav,"Flight Mode,Position Hold",,
output/Audio/en/fm-rth.wav,"Flight Mode,Return to Home",,
output/Audio/en/fm-air.wav,"Flight Mode,Air",,
output/Audio/en/fm-crs.wav,"Flight Mode,Cruise",,
output/Audio/en/autrim.wav,Auto Trim,,
output/Audio/en/autune.wav,Auto Tune,,
output/Audio/en/alt-hold.wav,Altitude Hold,,
output/Audio/en/mag-hold.wav,Magnetic Hold.,,
output/Audio/en/gyro-off.wav,Gyro Off.,,
output/Audio/en/gyro-on.wav,Gyro On.,,
output/Audio/en/fm-stab.wav,"Flight Mode,Stabilize",,
output/Audio/en/fm-alock.wav,"Flight Mode,Attitude Lock",,
output/Audio/en/fm-hover.wav,"Flight Mode,Hover",,
output/Voice/en/AbsAlt.wav,"Absolute Altitude",,
output/Voice/en/Ah.wav,"amp per hour",,
output/Voice/en/Ahs.wav,amp per hours,,
output/Voice/en/Altitude.wav,altitude,,
output/Voice/en/Amp.wav,amp,,
output/Voice/en/Amps.wav,amps,,
output/Voice/en/Antenna1.wav,antenna one,,
output/Voice/en/Antenna2.wav,antenna two,,
output/Voice/en/Azimuth.wav,azimuth,,
output/Voice/en/Capacity.wav,capacity,,
output/Voice/en/Cell1.wav,cell one,,
output/Voice/en/Cell2.wav,cell two,,
output/Voice/en/Cell3.wav,cell three,,
output/Voice/en/Cell4.wav,cell four,,
output/Voice/en/Cell5.wav,cell five,,
output/Voice/en/Cell6.wav,cell six,,
output/Voice/en/Course.wav,course,,
output/Voice/en/Current.wav,current,,
output/Voice/en/DegCels.wav,degree celcius,,
output/Voice/en/Degree.wav,degree,,
output/Voice/en/Degrees.wav,degrees,,
output/Voice/en/DegsCels.wav,degrees celcius,,
output/Voice/en/Distance.wav,distance,,
output/Voice/en/Eight.wav,eight,,
output/Voice/en/Eighteen.wav,eighteen,,
output/Voice/en/Eighty.wav,eighty,,
output/Voice/en/Eleven.wav,eleven,,
output/Voice/en/Fahrenh.wav,farenheight,,
output/Voice/en/Fifteen.wav,fifteen,,
output/Voice/en/Fifty.wav,fifty,,
output/Voice/en/Five.wav,five,,
output/Voice/en/Forty.wav,forty,,
output/Voice/en/Four.wav,four,,
output/Voice/en/Fourteen.wav,fourteen,,
output/Voice/en/GPSQual.wav,gps quality,,
output/Voice/en/Hour.wav,hour,,
output/Voice/en/Hours.wav,hours,,
output/Voice/en/Hundred.wav,hundred,,
output/Voice/en/I_BEC.wav,current bec,,
output/Voice/en/Impuls.wav,impulse,,
output/Voice/en/InputA.wav,input a,,
output/Voice/en/InputB.wav,input b,,
output/Voice/en/InputC.wav,input c,,
output/Voice/en/LowVolt.wav,lowest voltage,,
output/Voice/en/Meter.wav,meter,,
output/Voice/en/MeterPS.wav,meter per second,,
output/Voice/en/Meters.wav,meters,,
output/Voice/en/MetersPS.wav,meters per second,,
output/Voice/en/Minus.wav,minus,,
output/Voice/en/Minute.wav,minute,,
output/Voice/en/Minutes.wav,minutes,,
output/Voice/en/Msecond.wav,mili second,,
output/Voice/en/Mseconds.wav,mili seconds,,
output/Voice/en/Nine.wav,nine,,
output/Voice/en/Nineteen.wav,nineteen,,
output/Voice/en/Ninety.wav,ninety,,
output/Voice/en/NoSats.wav,nunber of satelites,,
output/Voice/en/One.wav,one,,
output/Voice/en/One_2.wav,1,,
output/Voice/en/Output.wav,output,,
output/Voice/en/PWM.wav,PWM,,
output/Voice/en/Point.wav,point,,
output/Voice/en/Power.wav,power,,
output/Voice/en/Pressure.wav,preasure,,
output/Voice/en/RPMs.wav,revolutions,,
output/Voice/en/RecvVolt.wav,receiver voltage,,
output/Voice/en/Runtime.wav,run time,,
output/Voice/en/Second.wav,second,,
output/Voice/en/Seconds.wav,seconds,,
output/Voice/en/Seven.wav,seven,,
output/Voice/en/Seventee.wav,seventee,,
output/Voice/en/Seventy.wav,seventy,,
output/Voice/en/Silence.wav,,,
output/Voice/en/Six.wav,six,,
output/Voice/en/Sixteen.wav,sixteen,,
output/Voice/en/Sixty.wav,sixty,,
output/Voice/en/Speed.wav,speed,,
output/Voice/en/TempA.wav,temperature a,,
output/Voice/en/TempB.wav,temperature b,,
output/Voice/en/Temperat.wav,temperature,,
output/Voice/en/Ten.wav,ten,,
output/Voice/en/Thirteen.wav,thirteen,,
output/Voice/en/Thirty.wav,thirty,,
output/Voice/en/Thousand.wav,thousand,,
output/Voice/en/Three.wav,three,,
output/Voice/en/Timer.wav,timer,,
output/Voice/en/Trip.wav,trip,,
output/Voice/en/Twelve.wav,twelve,,
output/Voice/en/Twenty.wav,"twenty",,
output/Voice/en/Two.wav,two,,
output/Voice/en/Watts.wav,Watts,,
output/Voice/en/WeakCell.wav,weakest cell,,
output/Voice/en/Wmin.wav,watt minute,,
output/Voice/en/Wmins.wav,watt minutes,,
output/Voice/en/Zero.wav,zero,,
output/Voice/en/Vario.wav,vario,,
output/Voice/en/Volt.wav,volt,,
output/Voice/en/VoltBEC.wav,voltage bec,,
output/Voice/en/Voltage.wav,voltage,,
output/Voice/en/Volts.wav,volts,,
output/Voice/en/Watt.wav,Watt,,
output/Voice/en/hPa.wav,hecto pascal,,
output/Voice/en/hPas.wav,hecto pascals,,
output/Voice/en/mAh.wav,milli amp per hour,,
output/Voice/en/mAhs.wav,milli amp per hours,,
output/Audio/en/armed.wav,Armed!,,
